speed		hand		dir
   9.0510420e+01   0.0000000e+00   5.9275942e+00
   9.8029630e+01   0.0000000e+00   5.7994426e+00
   9.6861970e+01   0.0000000e+00   5.1107640e+00
   9.7029600e+01   0.0000000e+00   5.5377920e+00
   9.1211700e+01   0.0000000e+00   5.6895652e+00
   9.3962550e+01   1.0000000e+00   1.3804219e+00
   9.6311080e+01   0.0000000e+00   5.5346535e+00
   9.1515190e+01   0.0000000e+00   1.0381727e+00
   9.8073220e+01   0.0000000e+00   4.9272401e+00
   9.6749370e+01   1.0000000e+00   5.4260410e+00
   9.5451210e+01   1.0000000e+00   1.4781228e+00
   9.1178170e+01   0.0000000e+00   1.7097984e+00
   9.4821880e+01   0.0000000e+00   3.4279481e-01
   9.3893300e+01   1.0000000e+00   3.0915417e-01
   9.0773040e+01   0.0000000e+00   3.2782198e-01
   9.0892520e+01   1.0000000e+00   5.9465006e+00
   9.9908480e+01   0.0000000e+00   5.7872743e+00
   9.3413580e+01   0.0000000e+00   5.3192517e+00
   8.8778870e+01   0.0000000e+00   1.1716959e+00
   8.8857400e+01   0.0000000e+00   9.6384990e-02
   9.0386450e+01   0.0000000e+00   1.1236814e-01
   9.5120220e+01   0.0000000e+00   4.4780398e+00
   9.6574740e+01   0.0000000e+00   3.0602499e-01
   9.6232700e+01   0.0000000e+00   5.6783673e+00
   9.0861730e+01   0.0000000e+00   7.3299688e-01
   8.9793180e+01   0.0000000e+00   1.7787140e+00
   9.2797200e+01   1.0000000e+00   1.5345696e-01
   9.1546340e+01   1.0000000e+00   6.1458941e+00
   9.2873470e+01   0.0000000e+00   1.8571011e-01
   9.5837520e+01   0.0000000e+00   9.7805819e-01
   9.3514750e+01   0.0000000e+00   5.8965182e+00
   9.5201640e+01   0.0000000e+00   5.9944811e+00
   8.9959930e+01   1.0000000e+00   6.0568000e+00
   9.3335830e+01   0.0000000e+00   1.1623999e+00
   8.6091430e+01   0.0000000e+00   6.1505828e-01
   9.3548650e+01   0.0000000e+00   2.6248481e-01
   9.1380550e+01   0.0000000e+00   5.9176553e-01
   9.0790140e+01   0.0000000e+00   7.5079622e-01
   8.8852370e+01   0.0000000e+00   2.2773830e-02
   8.9292760e+01   1.0000000e+00   4.9129882e+00
   9.5931750e+01   0.0000000e+00   5.5779617e+00
   9.5380780e+01   0.0000000e+00   5.9275386e+00
   9.5574800e+01   1.0000000e+00   2.1343909e-01
   9.2904260e+01   0.0000000e+00   6.0667370e+00
   9.1615740e+01   0.0000000e+00   6.2570982e+00
   9.6367400e+01   1.0000000e+00   1.1421572e+00
   9.3463830e+01   0.0000000e+00   6.1378005e+00
   9.5502990e+01   0.0000000e+00   2.5676190e-02
   9.8162580e+01   0.0000000e+00   5.1758159e+00
   9.3469560e+01   1.0000000e+00   5.2284216e+00
   9.7891360e+01   1.0000000e+00   7.4281916e-01
   1.0045359e+02   0.0000000e+00   5.4608338e+00
   9.6594730e+01   0.0000000e+00   4.8791375e+00
   9.5481520e+01   1.0000000e+00   1.1509500e+00
   9.3899230e+01   0.0000000e+00   1.1423583e+00
   9.3336470e+01   0.0000000e+00   5.0913084e+00
   9.5666040e+01   0.0000000e+00   6.0014746e+00
   9.9071340e+01   0.0000000e+00   4.9027115e+00
